series,max_depth,learning_rate,n_estimators,subsample,best_cv_rmse,naive_cv_rmse,beats_naive_in_cv
SGD_per_USD,2,0.02,200,0.8,0.0034159107999977628,0.0033503503822316003,False
CNY_per_USD,2,0.02,200,1.0,0.0010134810835638434,0.0009950472501839816,False
