series,horizon,model,mean_move_from_last,naive_mean_error,move_ratio
SGD_per_USD,1,arima,0.0,0.002870841487279837,0.0
SGD_per_USD,1,naive,0.0,0.002870841487279837,0.0
SGD_per_USD,1,drift,6.148722955173671e-05,0.002870841487279837,0.02141784205926212
SGD_per_USD,1,sarima,6.174046111041073e-05,0.002870841487279837,0.021506050189106993
SGD_per_USD,1,xgboost_returns,0.0009087267961188278,0.002870841487279837,0.31653673675304844
SGD_per_USD,1,xgboost_levels,0.0015644026901857262,0.002870841487279837,0.5449282717688534
SGD_per_USD,1,seasonal_naive,0.006015753424657534,0.002870841487279837,2.095466939331975
SGD_per_USD,5,arima,0.0,0.006678962818003912,0.0
SGD_per_USD,5,naive,0.0,0.006678962818003912,0.0
SGD_per_USD,5,sarima,0.00014411934786208905,0.006678962818003912,0.02157810303623772
SGD_per_USD,5,drift,0.00030743614775868876,0.006678962818003912,0.046030522423325865
SGD_per_USD,5,xgboost_returns,0.002721168134245542,0.006678962818003912,0.407423758507881
SGD_per_USD,5,xgboost_levels,0.003761305496977269,0.006678962818003912,0.5631571247616828
SGD_per_USD,5,seasonal_naive,0.006015753424657534,0.006678962818003912,0.9007017389648254
SGD_per_USD,21,arima,0.0,0.012967612524461838,0.0
SGD_per_USD,21,naive,0.0,0.012967612524461838,0.0
SGD_per_USD,21,sarima,0.00012193665226247476,0.012967612524461838,0.009403169012989552
SGD_per_USD,21,drift,0.0012912318205865014,0.012967612524461838,0.09957359677047323
SGD_per_USD,21,seasonal_naive,0.006015753424657534,0.012967612524461838,0.4639060130235647
SGD_per_USD,21,xgboost_returns,0.007858855257761492,0.012967612524461838,0.6060371747641834
SGD_per_USD,21,xgboost_levels,0.010852382650020772,0.012967612524461838,0.8368836306258427
CNY_per_USD,1,naive,0.0,0.010846281800391372,0.0
CNY_per_USD,1,drift,0.0003345060978177475,0.010846281800391372,0.030840623909077977
CNY_per_USD,1,arima,0.0003795956288632644,0.010846281800391372,0.034997765672063516
CNY_per_USD,1,sarima,0.0006646133720082137,0.010846281800391372,0.06127568730366494
CNY_per_USD,1,xgboost_returns,0.003688150576981636,0.010846281800391372,0.34003824027959095
CNY_per_USD,1,xgboost_levels,0.014048277911281404,0.010846281800391372,1.2952160168634466
CNY_per_USD,1,seasonal_naive,0.02361643835616437,0.010846281800391372,2.1773764310007326
CNY_per_USD,5,naive,0.0,0.026842563600782778,0.0
CNY_per_USD,5,arima,0.00036605262582990717,0.026842563600782778,0.013637021831224512
CNY_per_USD,5,sarima,0.001117561890205563,0.026842563600782778,0.04163394774159994
CNY_per_USD,5,drift,0.0016725304890887914,0.026842563600782778,0.062308895452892483
CNY_per_USD,5,xgboost_returns,0.011027708918718878,0.026842563600782778,0.41082919957754294
CNY_per_USD,5,xgboost_levels,0.02348509897952445,0.026842563600782778,0.8749201204775978
CNY_per_USD,5,seasonal_naive,0.02361643835616437,0.026842563600782778,0.8798130725291705
CNY_per_USD,21,naive,0.0,0.06490156555772994,0.0
CNY_per_USD,21,arima,0.0003660525911776001,0.06490156555772994,0.005640119587747022
CNY_per_USD,21,sarima,0.0015102231428315235,0.06490156555772994,0.023269440881024357
CNY_per_USD,21,drift,0.007024628054172931,0.06490156555772994,0.1082351094893778
CNY_per_USD,21,seasonal_naive,0.02361643835616437,0.06490156555772994,0.36388087333821784
CNY_per_USD,21,xgboost_returns,0.02754753447319867,0.06490156555772994,0.4244510010886431
CNY_per_USD,21,xgboost_levels,0.05509252988736926,0.06490156555772994,0.8488628804857482
