series,horizon,model,n,rmse,mae,mape_pct,rmse_ratio,skill_pct,dm_stat,dm_p
CNY_per_USD,1,arima,1022,0.016237487574755665,0.010847236846274318,0.16155594450667532,0.9997965130833162,0.02034869166838149,-0.14109160043683203,0.887825410826133
CNY_per_USD,1,naive,1022,0.01624079236351822,0.010846281800391372,0.16153959872734303,1.0,0.0,,
CNY_per_USD,1,sarima,1022,0.016243101123010997,0.010898871967792554,0.16231467677521708,1.0001421580573842,-0.014215805738415632,0.06857765650741798,0.9453392321608258
CNY_per_USD,1,drift,1022,0.016257324243496254,0.010890785894178618,0.1622042406112855,1.001017923239704,-0.1017923239704066,1.5859290878796672,0.11306503920031075
CNY_per_USD,1,xgboost_returns,1022,0.016874026013422767,0.01160331863020905,0.17271394769367662,1.0389903174507042,-3.899031745070425,3.7890884493310386,0.00016004286862125738
CNY_per_USD,1,xgboost_levels,1022,0.027311464534036614,0.01947409330991383,0.2887255657212753,1.6816583774192266,-68.16583774192266,11.334413892825221,0.0
CNY_per_USD,1,seasonal_naive,1022,0.037314668054999396,0.027075831702544028,0.4030286478836415,2.2975891335708187,-129.75891335708187,14.327237128265926,0.0
CNY_per_USD,5,sarima,1022,0.03684624235367593,0.026789282307281476,0.39862392723006196,0.995120852293799,0.48791477062010147,-1.5359367746592039,0.12486370273765979
CNY_per_USD,5,naive,1022,0.03702690207801762,0.026842563600782778,0.39942982965227,1.0,0.0,,
CNY_per_USD,5,arima,1022,0.03705537096280414,0.026849064843018466,0.3995165835168596,1.0007688702858946,-0.07688702858945629,1.284344529989224,0.19931277277136505
CNY_per_USD,5,drift,1022,0.03718992212673592,0.02705344536261864,0.40251182927786106,1.0044027460999791,-0.4402746099979149,1.3294257399238159,0.18400450920682765
CNY_per_USD,5,xgboost_returns,1022,0.03995733458643455,0.02999416532879616,0.44640476436574206,1.079143334817543,-7.914333481754299,3.088344039999893,0.002067130791492122
CNY_per_USD,5,xgboost_levels,1022,0.05136298330400485,0.03923488942797638,0.5827178376199184,1.387180142583367,-38.718014258336694,5.466069079006523,5.7832538979951664e-08
CNY_per_USD,5,seasonal_naive,1022,0.05252791718837447,0.038379549902152636,0.5707591988388556,1.418641966797422,-41.86419667974219,5.360828104780482,1.0242460013465404e-07
CNY_per_USD,21,sarima,1022,0.08699537856304052,0.06470965391804079,0.9625739735120166,0.9942329766427566,0.5767023357243439,-1.6132335953485768,0.10700277944076309
CNY_per_USD,21,naive,1022,0.08749999306681548,0.06490156555772994,0.9654522696317699,1.0,0.0,,
CNY_per_USD,21,arima,1022,0.08754404005101198,0.06491567567887156,0.9656601514456556,1.00050339414499,-0.05033941449898993,1.7378772224670398,0.08253395453596335
CNY_per_USD,21,drift,1022,0.08865460019051095,0.06546498610980674,0.973321758123346,1.0131955110306559,-1.319551103065586,0.966775852277954,0.3338850386914496
CNY_per_USD,21,xgboost_returns,1022,0.09116949209760528,0.07103167491634982,1.0565856681145387,1.0419371351034021,-4.1937135103402134,0.7857980095399056,0.4321681518270517
CNY_per_USD,21,seasonal_naive,1022,0.09913973721524397,0.0740023483365949,1.1007712156098126,1.1330256579510847,-13.302565795108467,3.1115976588384826,0.001912467798790729
CNY_per_USD,21,xgboost_levels,1022,0.12200626985329406,0.09905522010265731,1.4694478482510587,1.3943574802357914,-39.435748023579144,3.9158796121610964,9.605721874628159e-05
SGD_per_USD,1,arima,1022,0.004114936279832792,0.002870841487279837,0.20934974712984034,1.0,0.0,,
SGD_per_USD,1,naive,1022,0.004114936279832792,0.002870841487279837,0.20934974712984034,1.0,0.0,,
SGD_per_USD,1,drift,1022,0.004115081841751165,0.002871743516110291,0.20940926313410244,1.0000353740394685,-0.003537403946851647,0.07493257353851691,0.9402830380442606
SGD_per_USD,1,sarima,1022,0.004116113541718955,0.0028734920044420926,0.20954348489800262,1.0002860948034438,-0.028609480344377047,0.345265551827277,0.7299658589225095
SGD_per_USD,1,xgboost_returns,1022,0.004289893654259545,0.003050633395591639,0.22247835605350869,1.042517638798981,-4.251763879898096,3.498318221188637,0.0004883809677895812
SGD_per_USD,1,xgboost_levels,1022,0.004638377746564074,0.0033457356456674486,0.24410339117479302,1.1272052423500838,-12.72052423500838,7.194992840015557,1.2077006061872453e-12
SGD_per_USD,1,seasonal_naive,1022,0.008719196829202767,0.006726908023483365,0.4909555541491104,2.1189141790446064,-111.89141790446064,16.2750392374619,0.0
SGD_per_USD,5,drift,1022,0.00865682446066683,0.006684632514826492,0.48804297013556985,0.9998760707265196,0.012392927348037208,-0.05189092256749572,0.958625757495903
SGD_per_USD,5,arima,1022,0.0086578974276049,0.006678962818003912,0.48767151339462084,1.0,0.0,,
SGD_per_USD,5,naive,1022,0.0086578974276049,0.006678962818003912,0.48767151339462084,1.0,0.0,,
SGD_per_USD,5,sarima,1022,0.008669699634640139,0.006686304522549692,0.4882425671043704,1.0013631724253984,-0.13631724253984068,1.1553668354634685,0.24821054538337828
SGD_per_USD,5,xgboost_returns,1022,0.009196801499899786,0.00720184739678825,0.5256706142519184,1.0622442200085023,-6.224422000850227,2.551168931968152,0.010881109233175756
SGD_per_USD,5,xgboost_levels,1022,0.009817762938143985,0.007682301744136326,0.5607891790108165,1.133966187545831,-13.39661875458309,3.734061970687503,0.0001988312225307265
SGD_per_USD,5,seasonal_naive,1022,0.011304687907626877,0.008876320939334638,0.6468522277670814,1.3057082279102696,-30.570822791026963,5.701558799297278,1.553384554320303e-08
SGD_per_USD,21,drift,1022,0.016591025636933748,0.01290524169664241,0.9412296392702012,0.9981640702903388,0.1835929709661177,-0.15715657063690242,0.8751525262548336
SGD_per_USD,21,arima,1022,0.016621541619012463,0.012967612524461838,0.9461890785699473,1.0,0.0,,
SGD_per_USD,21,naive,1022,0.016621541619012463,0.012967612524461838,0.9461890785699473,1.0,0.0,,
SGD_per_USD,21,sarima,1022,0.016625907578943864,0.01296873348019386,0.9462835446012439,1.0002626687723362,-0.026266877233616093,0.6566683442380981,0.5115421691074133
SGD_per_USD,21,seasonal_naive,1022,0.01825428829332687,0.01443385518590998,1.0529335436550584,1.0982307605238493,-9.823076052384927,3.5064024877408477,0.0004739556577415538
SGD_per_USD,21,xgboost_returns,1022,0.018338519088760084,0.014365828106283899,1.048145046128509,1.1032983287051825,-10.329832870518253,1.803632307859379,0.07158364632266467
SGD_per_USD,21,xgboost_levels,1022,0.020423963697049536,0.015758322042588386,1.152072148411927,1.2287647057772122,-22.87647057772122,1.9441577815964075,0.05215082255585579
